Time_stamp,Number_of_people
11:01:35,0
11:03:14,0
11:04:33,1
11:04:36,2
11:04:36,1
11:04:38,2
11:04:39,1
11:04:39,2
11:04:42,3
11:04:42,2
11:04:45,3
11:04:48,4
11:04:48,3
11:04:52,4
11:04:52,3
11:05:04,4
11:06:33,0
11:06:44,1
11:06:46,0
11:06:48,1
11:06:50,0
11:06:51,1
11:06:53,0
11:07:04,1
11:07:15,0
11:07:15,1
11:07:15,0
11:07:16,1
11:07:16,0
11:07:16,1
11:07:16,0
11:07:16,1
11:07:17,0
11:07:17,1
11:07:18,0
11:07:18,1
11:07:21,0
11:34:12,0
11:34:27,1
11:34:27,0
11:34:28,1
11:34:28,0
11:34:30,1
11:34:30,0
11:34:31,1
11:34:31,0
11:34:32,1
11:34:32,0
11:34:33,1
11:34:33,0
11:34:33,1
11:34:34,0
11:34:34,1
11:34:34,0
11:34:36,1
11:34:37,0
11:34:37,1
11:34:37,0
11:34:37,1
11:34:38,0
11:34:38,1
11:34:38,0
11:34:38,1
11:34:39,0
11:34:40,1
11:34:40,0
11:34:41,1
11:34:41,0
11:34:42,1
11:34:43,2
11:34:44,3
11:34:47,2
11:34:49,3
11:34:49,2
