Time_stamp,Number_of_people
16:09:22,0
16:09:54,1
16:09:57,0
16:09:58,1
16:10:07,2
16:10:08,1
16:10:09,2
16:10:10,1
16:11:35,0
16:11:45,1
16:11:47,0
16:11:49,1
16:11:51,0
16:11:53,1
16:11:55,2
16:11:58,3
16:12:00,4
16:17:34,0
16:17:43,1
16:17:47,2
16:17:50,3
16:17:52,4
16:17:54,3
16:17:55,4
16:17:56,3
16:17:57,4
16:17:58,3
16:18:01,4
16:18:02,3
16:18:08,4
16:18:14,3
16:18:15,4
16:22:00,0
16:22:13,1
16:22:14,0
16:22:14,1
16:22:15,0
16:22:15,1
16:22:16,0
16:22:16,1
16:22:16,0
16:22:17,1
16:22:17,0
16:22:18,1
16:22:18,0
16:22:18,1
16:22:18,0
16:22:19,1
16:22:19,0
16:22:20,1
16:22:20,0
16:22:21,1
16:22:21,0
16:22:21,1
16:22:21,0
16:22:22,1
16:22:22,0
16:22:22,1
16:22:22,0
16:22:23,1
16:22:23,0
16:22:23,1
16:22:23,0
16:26:15,0
16:26:23,1
16:26:23,0
16:26:23,1
16:26:26,2
16:26:26,1
16:26:27,2
16:26:28,1
16:26:28,2
16:26:29,1
16:26:30,2
16:26:30,1
16:27:39,2
16:27:40,1
16:27:40,2
16:27:40,1
16:27:40,2
16:27:40,1
16:27:44,2
16:27:44,1
16:27:44,2
16:27:44,1
16:27:44,2
16:27:45,1
16:27:47,2
16:27:47,1
16:41:01,0
16:41:07,1
16:41:08,0
16:41:16,1
16:41:16,0
16:41:16,1
16:41:19,0
16:41:20,1
16:41:21,0
16:41:23,1
16:41:23,0
16:41:25,1
16:41:26,0
16:43:45,0
16:45:25,0
16:45:48,1
16:48:30,0
16:48:52,1
16:49:30,0
16:49:55,0
16:50:02,1
17:07:31,0
17:18:58,0
17:19:08,1
17:22:05,0
17:22:11,1
17:22:19,2
17:50:18,0
17:50:29,1
17:50:32,0
17:50:33,1
17:50:37,2
17:50:41,3
17:50:45,4
17:50:51,5
17:52:05,0
17:52:11,1
17:52:13,0
17:52:14,1
17:52:15,0
17:52:16,1
17:52:17,0
17:52:18,1
17:52:19,0
17:52:20,1
17:52:22,0
17:52:23,1
17:52:24,0
17:52:25,1
17:52:26,0
17:52:27,1
17:52:29,0
17:52:30,1
17:52:31,0
17:52:32,1
17:52:37,0
17:52:38,1
17:52:43,0
17:52:44,1
17:52:44,2
17:52:46,1
17:52:46,2
17:52:46,1
17:52:48,2
17:52:48,1
17:52:48,2
17:52:48,1
17:52:48,2
17:52:49,1
17:52:49,2
17:52:49,1
17:52:49,0
17:52:50,1
17:52:53,2
17:52:56,3
17:56:06,0
17:56:13,1
17:56:17,2
17:56:19,3
17:56:22,4
17:56:24,5
17:56:27,6
17:56:28,5
17:56:30,4
17:56:32,3
17:56:34,4
17:56:34,3
17:56:38,2
17:56:41,3
17:56:43,2
17:56:43,3
17:56:44,2
17:56:45,3
17:56:46,2
17:56:46,3
17:56:47,2
17:56:48,3
17:56:48,2
17:56:49,3
17:56:50,2
17:56:50,3
17:56:50,2
17:56:50,3
17:56:51,2
17:56:51,3
17:56:51,2
17:56:52,3
17:56:52,2
17:56:53,3
17:56:54,2
17:56:54,3
17:56:54,2
17:56:55,3
17:56:55,2
17:56:56,3
17:56:57,2
17:56:58,3
17:56:58,2
17:56:59,3
17:57:00,2
17:57:01,3
17:57:02,2
17:57:03,3
17:57:04,2
17:57:05,3
17:57:05,2
17:57:06,3
17:57:07,2
17:57:08,3
17:57:08,2
17:57:09,3
17:57:09,2
17:57:10,3
17:57:10,2
17:57:15,3
17:57:15,2
17:57:16,3
17:57:16,2
20:57:46,0
20:57:47,0
20:57:48,0
20:57:49,0
20:57:49,0
20:57:50,0
20:57:50,0
20:57:51,0
20:57:52,0
20:57:53,0
20:57:53,0
20:58:31,0
20:58:32,0
20:58:33,0
20:58:34,0
20:58:35,0
20:58:36,0
20:58:37,0
20:58:37,0
20:58:38,0
20:58:38,0
20:58:39,0
20:58:40,0
20:58:40,0
20:58:41,0
20:58:42,0
20:58:43,0
20:58:44,0
20:58:44,0
20:58:45,0
20:58:46,0
20:58:47,0
20:58:47,0
20:58:48,0
20:58:49,0
20:58:50,0
20:58:51,0
20:58:52,0
20:58:53,0
20:58:53,0
20:58:54,0
20:58:55,0
20:58:56,0
20:58:56,0
20:58:57,0
20:58:58,0
20:58:59,0
20:59:00,0
20:59:01,0
20:59:01,0
20:59:02,0
20:59:03,0
20:59:04,0
20:59:04,0
20:59:05,0
20:59:06,0
20:59:07,0
20:59:08,0
20:59:09,0
20:59:09,0
20:59:10,0
20:59:11,0
20:59:12,0
20:59:13,0
20:59:14,0
20:59:14,0
20:59:15,0
20:59:16,0
20:59:17,0
20:59:18,0
20:59:19,0
20:59:20,0
20:59:20,0
20:59:21,0
20:59:22,0
20:59:23,0
20:59:24,0
20:59:25,0
20:59:25,0
20:59:26,0
20:59:27,0
20:59:28,0
20:59:28,0
20:59:29,0
20:59:30,0
20:59:31,0
20:59:32,0
20:59:32,0
20:59:33,0
20:59:34,0
20:59:35,0
21:15:29,0
21:15:29,0
21:15:30,0
21:15:31,0
21:15:32,0
21:15:32,0
21:15:33,0
21:15:34,0
21:15:35,0
21:15:36,0
21:15:36,0
21:15:37,0
21:15:38,0
21:15:38,0
21:15:39,0
21:15:40,0
21:15:41,0
21:15:42,0
21:15:42,0
21:15:43,0
21:15:44,0
21:15:45,0
21:15:46,0
21:15:47,0
21:15:48,0
21:15:48,0
21:15:49,0
21:15:50,0
21:15:51,0
21:15:52,0
21:15:53,0
21:15:54,0
21:15:55,0
21:15:55,0
21:15:56,0
21:15:57,0
21:15:58,0
21:15:58,0
21:15:59,0
21:16:00,0
21:16:01,0
21:16:02,0
21:16:02,0
21:16:03,0
21:16:04,0
21:16:05,0
21:16:06,0
21:16:07,0
21:16:08,0
21:16:09,0
21:16:10,0
21:16:11,0
21:16:11,0
21:16:12,0
21:16:13,0
21:16:14,0
21:16:15,0
21:16:15,0
21:16:16,0
21:16:17,0
21:16:18,0
21:16:19,0
21:16:19,0
21:16:20,0
21:16:21,0
21:16:22,0
21:16:23,0
21:16:24,0
21:16:24,0
21:16:25,0
21:16:26,0
21:16:27,0
21:16:28,0
21:16:29,0
21:16:29,0
21:16:30,0
21:16:31,0
21:16:32,0
21:16:33,0
21:16:34,0
21:16:35,0
21:16:35,0
21:16:36,0
21:16:37,0
21:16:38,0
21:16:39,0
21:16:40,0
21:16:41,0
21:16:42,0
21:16:42,0
21:16:43,0
21:16:44,0
21:16:45,0
21:16:46,0
21:16:47,0
21:16:47,0
21:16:48,0
21:16:49,0
21:16:50,0
21:16:51,0
21:16:52,0
21:16:52,0
21:16:53,0
21:16:54,0
21:16:55,0
21:16:56,0
21:16:57,0
21:16:57,0
21:16:58,0
21:16:59,0
21:17:00,0
21:17:01,0
21:17:02,0
21:17:03,0
21:17:03,0
21:17:04,0
21:17:05,0
21:17:06,0
21:17:07,0
21:17:08,0
21:17:08,0
21:17:09,0
21:17:10,0
21:17:11,0
21:17:12,0
21:17:13,0
21:17:13,0
21:17:14,0
21:17:15,0
21:17:16,0
21:17:17,0
21:17:18,0
21:17:18,0
21:17:19,0
21:17:55,0
21:21:40,0
21:22:02,1
21:22:05,0
21:22:06,1
21:22:07,0
21:22:08,1
21:22:09,0
21:22:09,1
21:22:09,0
21:22:10,1
21:22:12,2
21:22:17,1
21:22:18,2
21:22:19,1
21:22:23,0
21:22:23,1
21:22:23,0
21:22:23,1
21:22:24,0
21:22:24,1
21:22:24,0
21:22:38,1
21:22:39,0
21:22:41,1
21:22:47,2
21:22:48,1
21:22:49,2
21:22:50,1
21:22:56,2
21:22:57,1
21:23:01,0
21:23:01,1
21:23:03,0
21:23:03,1
21:23:08,2
21:23:09,1
21:23:11,2
21:23:14,3
21:23:15,2
21:23:33,1
21:23:35,2
21:23:36,3
21:23:54,2
21:23:54,1
21:23:57,2
21:23:59,1
21:23:59,0
21:24:00,1
21:24:00,2
21:24:00,3
21:24:02,2
21:24:02,1
21:24:02,0
21:24:04,1
21:24:04,2
21:24:06,1
21:24:06,0
21:24:08,1
21:24:08,2
21:24:08,3
21:24:19,4
21:24:20,3
21:24:46,4
