Time_stamp,Number_of_people
12:13:54,0
12:14:09,1
12:20:02,0
12:20:19,1
12:20:19,0
12:20:20,1
12:20:20,0
12:21:47,0
12:21:55,1
12:21:56,0
12:21:56,1
12:21:57,0
12:21:57,1
13:23:17,0
13:23:44,1
13:23:47,2
13:23:48,1
13:23:49,2
13:23:50,1
13:23:50,2
13:23:51,1
13:23:51,2
13:23:55,1
13:23:56,2
13:23:56,1
13:23:56,2
13:23:56,2
13:23:56,1
13:23:57,1
13:24:05,2
13:24:07,1
13:24:08,2
13:24:09,1
13:24:10,2
13:24:14,3
13:27:52,0
13:28:15,1
13:28:16,0
13:28:16,1
13:28:17,0
13:28:17,1
13:28:18,0
13:28:18,1
13:28:20,0
13:28:21,1
13:28:22,0
13:28:22,1
13:32:19,0
13:32:24,1
13:32:24,0
13:32:25,1
13:32:26,0
13:32:26,1
13:32:28,0
13:32:29,1
13:32:31,2
13:32:34,1
13:32:34,1
13:32:34,2
13:32:35,1
13:32:36,2
13:33:48,0
13:33:57,1
13:33:57,0
13:33:58,1
13:33:58,0
13:33:58,1
13:33:59,2
13:34:00,1
13:34:00,2
14:18:01,0
14:18:48,1
14:18:56,2
14:19:01,1
14:19:04,2
14:23:05,0
14:23:53,1
14:23:54,0
14:23:59,1
14:24:05,0
14:24:06,1
14:24:06,0
14:24:06,1
14:24:07,0
14:24:07,1
14:24:07,0
14:24:08,1
14:24:08,0
14:24:08,1
14:24:08,0
14:24:09,1
14:24:09,0
14:24:10,1
14:24:10,1
14:24:22,2
14:24:22,1
14:24:23,2
14:24:23,1
14:24:25,2
14:24:31,1
14:24:31,2
16:41:56,0
16:42:05,1
16:42:11,0
16:42:12,1
16:42:17,0
16:42:20,1
16:42:21,0
