                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3163,                0.70139,                 1.2033,                0.82855,                0.71743,                0.80397,                0.44083,                 1.4209,                0.67972,                 1.2525,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.2435,                0.63632,                 1.1612,                0.85335,                0.75645,                0.84315,                0.47365,                 1.3681,                0.66014,                 1.2197,              0.0064997,              0.0064997,              0.0064997
                      3,                 1.2355,                0.63388,                 1.1504,                0.87254,                0.78526,                0.86959,                0.50652,                 1.3319,                0.63919,                 1.2022,              0.0095031,              0.0095031,              0.0095031
                      4,                  1.233,                 0.6344,                 1.1464,                0.87651,                0.80751,                0.88288,                0.52246,                 1.3234,                0.62322,                 1.2055,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.2181,                0.62045,                  1.142,                0.89483,                0.82328,                0.89695,                 0.5379,                 1.3023,                0.61045,                  1.197,              0.0092575,              0.0092575,              0.0092575
                      6,                 1.2015,                 0.6103,                 1.1334,                0.89886,                0.82412,                0.90049,                0.54634,                 1.2892,                0.61033,                 1.1852,                0.00901,                0.00901,                0.00901
                      7,                  1.189,                0.60372,                 1.1298,                0.89786,                0.82713,                0.90545,                0.55047,                 1.2805,                0.59674,                 1.1798,              0.0087625,              0.0087625,              0.0087625
                      8,                 1.1799,                0.59777,                 1.1256,                0.90378,                0.83044,                0.90826,                0.55381,                 1.2726,                0.59087,                 1.1727,               0.008515,               0.008515,               0.008515
                      9,                 1.1731,                0.59168,                  1.121,                0.90804,                0.83773,                0.91417,                0.56338,                 1.2604,                0.58914,                  1.174,              0.0082675,              0.0082675,              0.0082675
                     10,                 1.1703,                0.58924,                 1.1183,                0.90763,                0.84111,                0.91478,                0.56603,                 1.2581,                0.57856,                 1.1713,                0.00802,                0.00802,                0.00802
                     11,                 1.1605,                0.58264,                 1.1162,                0.90914,                0.84677,                0.91973,                0.57334,                 1.2498,                0.56627,                 1.1661,              0.0077725,              0.0077725,              0.0077725
                     12,                 1.1621,                0.58296,                 1.1116,                0.91037,                0.84938,                0.92143,                0.57839,                 1.2392,                0.56881,                 1.1619,               0.007525,               0.007525,               0.007525
