                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2285,                0.57793,                 1.1501,                0.92229,                0.87077,                0.93343,                0.57796,                 1.2574,                0.55206,                 1.1795,              0.0033316,              0.0033316,              0.0033316
                      2,                  1.224,                0.57853,                 1.1427,                 0.9179,                0.86779,                0.93158,                0.57601,                 1.2574,                0.56039,                 1.1769,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.2437,                0.59536,                  1.148,                 0.9102,                0.86441,                0.92788,                0.56838,                 1.2712,                0.57994,                 1.1845,              0.0097444,              0.0097444,              0.0097444
                      4,                  1.268,                0.61665,                   1.16,                0.91875,                0.86401,                0.92966,                0.57028,                 1.2759,                0.57777,                 1.1842,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.2711,                0.61666,                 1.1609,                0.91629,                0.86556,                0.93053,                0.57071,                 1.2715,                0.56861,                 1.1766,              0.0094857,              0.0094857,              0.0094857
                      6,                 1.2728,                0.61809,                 1.1599,                0.91697,                0.86388,                0.93024,                0.57371,                 1.2657,                0.57281,                 1.1797,              0.0093813,              0.0093813,              0.0093813
                      7,                  1.262,                0.61227,                 1.1541,                0.92122,                0.86837,                0.93386,                0.57873,                 1.2635,                0.56563,                 1.1761,               0.009175,               0.009175,               0.009175
                      8,                 1.2575,                0.60687,                 1.1514,                 0.9196,                 0.8721,                0.93469,                0.58092,                 1.2511,                0.56291,                  1.175,              0.0090635,              0.0090635,              0.0090635
                      9,                 1.2581,                0.60815,                 1.1538,                0.91771,                 0.8761,                0.93693,                0.58298,                 1.2592,                0.55674,                 1.1734,              0.0087625,              0.0087625,              0.0087625
                     10,                 1.2542,                0.60379,                 1.1508,                0.92076,                0.87489,                0.93631,                0.58318,                 1.2521,                0.55566,                 1.1674,                0.00865,                0.00865,                0.00865
                     11,                 1.2464,                0.60096,                 1.1463,                 0.9206,                0.87521,                0.93739,                0.58683,                 1.2429,                0.54621,                 1.1677,                0.00835,                0.00835,                0.00835
                     12,                  1.243,                0.59761,                 1.1447,                 0.9211,                0.87378,                0.93697,                 0.5873,                  1.241,                 0.5478,                 1.1634,              0.0082435,              0.0082435,              0.0082435
                     13,                 1.2432,                0.59597,                 1.1443,                0.92227,                0.87712,                0.94011,                 0.5915,                 1.2352,                0.54669,                 1.1588,                0.00802,                0.00802,                0.00802
                     14,                 1.2363,                0.59262,                 1.1397,                 0.9243,                0.88294,                0.94078,                  0.595,                 1.2304,                0.53659,                 1.1586,              0.0078902,              0.0078902,              0.0078902
                     15,                 1.2376,                0.59257,                 1.1409,                0.92553,                0.88273,                0.94275,                0.59717,                 1.2249,                0.53481,                 1.1503,              0.0076508,              0.0076508,              0.0076508
                     16,                 1.2301,                0.58806,                 1.1348,                0.92634,                0.88327,                0.94223,                 0.5979,                 1.2275,                0.53559,                  1.157,               0.007525,               0.007525,               0.007525
                     17,                 1.2303,                0.58778,                 1.1354,                0.92649,                0.88356,                0.94216,                0.59813,                 1.2271,                0.53302,                 1.1554,              0.0074033,              0.0074033,              0.0074033
                     18,                 1.2258,                0.58503,                 1.1353,                0.92804,                0.88661,                  0.944,                0.60106,                 1.2194,                0.52717,                  1.151,              0.0073286,              0.0073286,              0.0073286
                     19,                 1.2273,                 0.5854,                 1.1321,                0.92847,                0.88508,                0.94415,                0.60192,                 1.2187,                0.52603,                 1.1513,              0.0071714,              0.0071714,              0.0071714
                     20,                 1.2187,                 0.5825,                 1.1297,                 0.9255,                0.89167,                0.94578,                0.60239,                 1.2176,                0.52622,                 1.1515,              0.0070609,              0.0070609,              0.0070609
                     21,                 1.2101,                0.57583,                 1.1307,                0.92821,                 0.8872,                0.94571,                0.60423,                 1.2135,                 0.5254,                 1.1497,              0.0065263,              0.0065263,              0.0065263
                     22,                  1.213,                0.57517,                 1.1282,                0.92679,                0.89015,                0.94612,                0.60571,                 1.2108,                0.52337,                 1.1479,              0.0064155,              0.0064155,              0.0064155
                     23,                 1.2055,                0.57111,                 1.1267,                0.92755,                0.89046,                0.94603,                0.60643,                   1.21,                0.52191,                 1.1487,              0.0059667,              0.0059667,              0.0059667
                     24,                 1.2015,                0.56879,                   1.12,                0.92745,                0.89277,                0.94697,                0.60741,                 1.2071,                0.51857,                 1.1458,                0.00586,                0.00586,                0.00586
                     25,                 1.2045,                 0.5685,                  1.123,                0.92802,                0.89411,                0.94759,                0.60836,                 1.2071,                0.51672,                 1.1464,                 0.0056,                 0.0056,                 0.0056
                     26,                 1.1971,                0.56718,                 1.1189,                0.92889,                0.89498,                0.94838,                0.60939,                 1.2066,                0.51545,                 1.1468,                 0.0055,                 0.0055,                 0.0055
                     27,                 1.1942,                0.56273,                 1.1184,                 0.9287,                0.89717,                0.94917,                0.61001,                 1.2065,                0.51426,                  1.147,              0.0054036,              0.0054036,              0.0054036
                     28,                 1.1905,                0.56078,                 1.1153,                0.92959,                0.89634,                0.94922,                0.61087,                 1.2062,                0.51334,                 1.1473,              0.0053105,              0.0053105,              0.0053105
                     29,                  1.191,                0.55964,                 1.1165,                0.93173,                0.89475,                0.94932,                0.61176,                 1.2046,                0.51253,                 1.1464,              0.0051368,              0.0051368,              0.0051368
                     30,                 1.1868,                0.55673,                 1.1118,                0.93152,                0.89668,                0.94961,                 0.6118,                 1.2038,                0.51191,                 1.1457,                0.00505,                0.00505,                0.00505
                     31,                 1.1784,                0.55255,                 1.1098,                0.93266,                0.89657,                 0.9497,                0.61246,                 1.2029,                0.51079,                 1.1446,              0.0046964,              0.0046964,              0.0046964
                     32,                 1.1817,                 0.5543,                 1.1119,                0.93252,                0.89601,                 0.9497,                0.61252,                 1.2022,                0.50985,                 1.1441,              0.0046158,              0.0046158,              0.0046158
                     33,                 1.1771,                0.55112,                 1.1075,                0.93229,                0.89658,                0.94995,                 0.6134,                 1.2014,                0.50955,                  1.144,              0.0044421,              0.0044421,              0.0044421
                     34,                 1.1768,                0.54913,                 1.1081,                0.93266,                0.89644,                0.94979,                0.61384,                 1.2009,                0.50895,                 1.1436,              0.0043672,              0.0043672,              0.0043672
                     35,                 1.1705,                0.54581,                 1.1069,                0.93216,                0.89705,                0.94995,                0.61426,                 1.2008,                0.50882,                 1.1435,              0.0040947,              0.0040947,              0.0040947
                     36,                  1.165,                0.54525,                  1.104,                0.93276,                0.89711,                0.95003,                0.61467,                 1.2003,                0.50877,                 1.1434,              0.0040259,              0.0040259,              0.0040259
                     37,                 1.1628,                0.54116,                  1.101,                0.93256,                0.89707,                0.95015,                0.61495,                 1.1998,                0.50879,                 1.1431,              0.0037474,              0.0037474,              0.0037474
                     38,                 1.1592,                0.53995,                 1.0972,                0.93201,                  0.898,                0.95059,                0.61521,                 1.1998,                0.50862,                 1.1432,              0.0035737,              0.0035737,              0.0035737
                     39,                 1.1548,                0.53614,                 1.1003,                0.93145,                0.89773,                 0.9506,                0.61538,                 1.1995,                0.50874,                 1.1433,              0.0035138,              0.0035138,              0.0035138
                     40,                   1.15,                0.53314,                  1.096,                0.93175,                0.89769,                0.95063,                0.61567,                  1.199,                0.50849,                 1.1432,              0.0033431,              0.0033431,              0.0033431
                     41,                 1.1426,                0.53108,                 1.0922,                0.93171,                0.89866,                0.95089,                0.61611,                 1.1983,                0.50794,                 1.1428,              0.0031724,              0.0031724,              0.0031724
                     42,                 1.1466,                0.53029,                 1.0922,                0.93151,                0.89933,                0.95106,                0.61637,                 1.1981,                0.50775,                 1.1426,              0.0030017,              0.0030017,              0.0030017
                     43,                 1.1425,                0.52813,                 1.0911,                0.93166,                0.89955,                0.95112,                0.61662,                 1.1977,                 0.5077,                 1.1426,              0.0027053,              0.0027053,              0.0027053
                     44,                 1.1366,                0.52441,                 1.0883,                0.93195,                0.89936,                0.95102,                0.61688,                 1.1974,                0.50768,                 1.1425,              0.0026603,              0.0026603,              0.0026603
                     45,                 1.1299,                0.51945,                 1.0839,                0.93222,                0.89978,                0.95131,                 0.6173,                 1.1968,                0.50733,                 1.1423,              0.0022214,              0.0022214,              0.0022214
