                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3234,                0.71402,                 1.1983,                0.92224,                0.85181,                0.91912,                0.58454,                 1.3271,                 0.6849,                 1.2556,             0.00066517,             0.00066517,             0.00066517
                      2,                 1.3632,                0.75912,                 1.2165,                0.90743,                0.84025,                0.90854,                0.56848,                 1.3899,                0.74311,                 1.3073,              0.0013122,              0.0013122,              0.0013122
                      3,                  1.388,                0.80215,                 1.2409,                0.92283,                0.82569,                0.91051,                0.57779,                 1.3424,                 0.7388,                 1.2779,              0.0019394,              0.0019394,              0.0019394
                      4,                 1.3762,                 0.7976,                 1.2332,                0.91383,                0.83808,                 0.9115,                0.58025,                 1.3533,                0.73733,                 1.2762,              0.0019113,              0.0019113,              0.0019113
                      5,                 1.3745,                0.78749,                 1.2292,                 0.9347,                0.82987,                0.91441,                0.57824,                 1.3564,                0.71947,                 1.2826,              0.0019113,              0.0019113,              0.0019113
                      6,                 1.3668,                0.77417,                 1.2191,                0.91487,                0.83791,                0.91274,                0.58136,                 1.3546,                0.70952,                 1.2709,              0.0018818,              0.0018818,              0.0018818
                      7,                  1.377,                0.77439,                 1.2293,                0.91391,                0.85248,                0.91945,                0.59214,                 1.3245,                0.70077,                 1.2617,              0.0018522,              0.0018522,              0.0018522
                      8,                 1.3471,                0.75652,                 1.2164,                0.92317,                0.84997,                0.92091,                0.58388,                 1.3384,                 0.7104,                 1.2718,              0.0018227,              0.0018227,              0.0018227
                      9,                 1.3477,                0.75418,                 1.2142,                0.92261,                0.83054,                0.91072,                0.58365,                 1.3436,                 0.7057,                 1.2756,              0.0017931,              0.0017931,              0.0017931
                     10,                 1.3514,                0.75362,                 1.2107,                  0.918,                0.84595,                 0.9189,                0.59333,                 1.3182,                0.69677,                 1.2614,              0.0017636,              0.0017636,              0.0017636
