                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4093,                 2.2014,                 2.1133,                0.80587,                0.65068,                0.73515,                0.36973,                 1.7792,                 1.4209,                 1.5309,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.7489,                 1.3141,                 1.4937,                0.88966,                0.74029,                0.83732,                0.46457,                 1.5828,                 1.0682,                 1.3875,              0.0012504,              0.0012504,              0.0012504
                      3,                 1.6509,                 1.1557,                 1.4139,                0.87449,                0.76682,                0.84945,                0.49564,                 1.4553,                0.97117,                 1.3391,              0.0017521,              0.0017521,              0.0017521
                      4,                 1.5583,                 1.0374,                 1.3678,                0.91393,                0.81726,                0.89638,                0.53635,                 1.4397,                0.84367,                 1.3177,              0.0016287,              0.0016287,              0.0016287
                      5,                 1.4944,                0.94813,                 1.3278,                0.90927,                0.82763,                0.90568,                0.56525,                 1.3861,                0.77699,                 1.2958,              0.0016287,              0.0016287,              0.0016287
                      6,                 1.4583,                0.90133,                 1.3077,                0.92599,                0.85301,                0.92228,                0.57632,                 1.3544,                0.75394,                 1.2854,               0.001505,               0.001505,               0.001505
                      7,                 1.3865,                0.81002,                 1.3312,                0.92408,                0.84909,                0.92066,                0.59063,                 1.3274,                0.72695,                 1.2685,              0.0013813,              0.0013813,              0.0013813
                      8,                 1.3569,                0.75859,                  1.313,                0.92248,                0.84472,                0.92294,                0.59377,                 1.3384,                0.68936,                 1.2684,              0.0012575,              0.0012575,              0.0012575
                      9,                 1.3282,                0.72084,                 1.3003,                 0.9226,                0.86329,                0.92823,                0.59632,                 1.3331,                0.69044,                 1.2688,              0.0011337,              0.0011337,              0.0011337
                     10,                 1.2995,                0.68934,                 1.2816,                0.92764,                0.86497,                0.93383,                 0.6127,                  1.302,                0.65081,                 1.2601,                0.00101,                0.00101,                0.00101
                     11,                 1.2728,                0.65731,                 1.2695,                0.93425,                0.87134,                0.93999,                0.62853,                 1.2729,                0.63724,                 1.2443,             0.00088625,             0.00088625,             0.00088625
                     12,                 1.2443,                0.62793,                 1.2529,                0.93065,                0.88192,                0.94242,                0.63189,                 1.2705,                0.61751,                 1.2504,              0.0007625,              0.0007625,              0.0007625
                     13,                 1.2328,                0.61054,                 1.2491,                0.93385,                 0.8881,                0.94564,                0.63037,                  1.272,                  0.603,                 1.2406,             0.00063875,             0.00063875,             0.00063875
                     14,                 1.2039,                   0.58,                 1.2298,                0.92893,                0.89457,                0.94565,                0.63745,                 1.2678,                0.60061,                 1.2443,               0.000515,               0.000515,               0.000515
                     15,                 1.1829,                 0.5586,                 1.2186,                0.92829,                0.89176,                0.94374,                0.64016,                 1.2624,                0.59651,                 1.2502,             0.00039125,             0.00039125,             0.00039125
                     16,                 1.1539,                0.53724,                 1.2036,                0.93015,                 0.8907,                 0.9475,                0.64492,                 1.2638,                0.58579,                 1.2462,              0.0002675,              0.0002675,              0.0002675
