                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4932,                0.81604,                 1.3142,                  0.917,                0.86193,                0.92534,                0.57524,                 1.4001,                 0.6972,                 1.2958,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.4487,                0.81418,                 1.3019,                0.91247,                0.85908,                0.91718,                0.57418,                 1.3942,                0.71376,                 1.2992,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.4508,                0.82161,                 1.2956,                0.92275,                0.84607,                0.91874,                0.57149,                  1.397,                0.71085,                 1.2976,              0.0018015,              0.0018015,              0.0018015
                      4,                  1.433,                0.81846,                 1.2922,                0.92426,                0.85328,                0.92305,                 0.5816,                 1.3788,                 0.6997,                 1.2897,               0.001703,               0.001703,               0.001703
                      5,                 1.4102,                0.79344,                 1.2761,                0.91431,                0.84695,                0.92088,                0.58854,                 1.3599,                0.68535,                 1.2878,               0.001703,               0.001703,               0.001703
                      6,                 1.4013,                0.78541,                 1.2717,                0.91831,                0.85521,                0.92295,                0.59618,                 1.3401,                0.68381,                 1.2738,               0.001604,               0.001604,               0.001604
                      7,                  1.389,                0.76459,                 1.2682,                0.92387,                0.86357,                0.92764,                 0.5906,                 1.3752,                0.66884,                 1.2859,               0.001505,               0.001505,               0.001505
                      8,                 1.3717,                0.75507,                 1.2584,                0.92652,                0.85081,                0.92775,                0.60472,                 1.3285,                0.65552,                 1.2672,               0.001406,               0.001406,               0.001406
                      9,                 1.3545,                0.73625,                 1.2488,                0.92818,                0.86066,                0.93157,                0.60416,                 1.3358,                0.64814,                 1.2653,               0.001307,               0.001307,               0.001307
                     10,                 1.3411,                0.72209,                 1.2388,                0.92397,                0.86874,                0.93474,                0.61054,                 1.3306,                 0.6422,                 1.2671,               0.001208,               0.001208,               0.001208
                     11,                 1.3015,                 0.6566,                 1.2715,                0.92467,                0.87354,                0.93347,                0.61097,                 1.3285,                0.63712,                 1.2648,               0.001109,               0.001109,               0.001109
                     12,                 1.2822,                0.63487,                 1.2651,                0.93257,                0.86026,                0.93483,                0.61636,                 1.3103,                0.62286,                 1.2599,                0.00101,                0.00101,                0.00101
                     13,                  1.277,                0.62803,                 1.2591,                0.93198,                0.87881,                0.93771,                0.61678,                  1.311,                0.61499,                 1.2567,               0.000911,               0.000911,               0.000911
                     14,                 1.2583,                0.61227,                 1.2489,                0.93294,                0.87509,                0.93799,                0.61861,                 1.3082,                0.61045,                  1.256,               0.000812,               0.000812,               0.000812
                     15,                  1.245,                0.59995,                 1.2417,                0.93446,                0.86821,                0.93834,                0.62187,                 1.3015,                0.60595,                 1.2518,               0.000713,               0.000713,               0.000713
                     16,                 1.2344,                0.58881,                 1.2308,                0.92864,                0.87577,                0.93915,                0.62524,                 1.2991,                0.60117,                 1.2514,               0.000614,               0.000614,               0.000614
                     17,                  1.225,                0.58062,                 1.2295,                0.93144,                0.87507,                0.93782,                0.62283,                 1.3018,                0.60537,                 1.2566,               0.000515,               0.000515,               0.000515
                     18,                 1.2125,                0.57075,                 1.2215,                0.93481,                0.87384,                0.94171,                0.62681,                 1.2955,                0.59643,                 1.2522,               0.000416,               0.000416,               0.000416
                     19,                 1.2046,                0.56296,                 1.2175,                0.92764,                0.87858,                0.93744,                0.62527,                 1.2973,                0.60008,                 1.2519,               0.000317,               0.000317,               0.000317
                     20,                 1.1937,                  0.556,                 1.2154,                 0.9293,                0.87538,                0.93799,                0.62655,                 1.2979,                0.59534,                 1.2553,               0.000218,               0.000218,               0.000218
