                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1301,                0.55807,                 1.1623,                0.93628,                 0.8897,                0.94738,                 0.6379,                 1.2673,                0.58696,                 1.2845,             0.00066622,             0.00066622,             0.00066622
                      2,                 1.1671,                  0.589,                 1.1807,                0.94254,                0.88736,                0.94705,                0.64262,                 1.2428,                0.59285,                 1.2619,              0.0012801,              0.0012801,              0.0012801
                      3,                  1.195,                0.60948,                 1.1964,                0.93678,                 0.8915,                0.94681,                0.64106,                 1.2506,                0.58584,                 1.2635,              0.0018412,              0.0018412,              0.0018412
                      4,                 1.2002,                0.61548,                 1.1982,                0.93659,                 0.8876,                0.94395,                 0.6303,                 1.2693,                0.60207,                 1.2655,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.1922,                0.61178,                 1.1921,                0.93983,                0.88578,                0.94692,                0.63454,                 1.2525,                0.59902,                   1.25,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.1885,                0.60846,                 1.1917,                0.93721,                0.88889,                0.94601,                0.63912,                 1.2545,                0.59321,                 1.2635,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1834,                0.60365,                 1.1907,                0.93499,                0.89135,                0.94717,                0.64179,                 1.2496,                0.58612,                 1.2552,               0.001604,               0.001604,               0.001604
                      8,                 1.1779,                0.59701,                 1.1865,                0.93822,                0.89862,                0.95117,                 0.6492,                 1.2179,                0.56819,                 1.2379,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.1718,                0.59046,                 1.1801,                 0.9352,                0.89995,                0.94946,                0.65017,                 1.2269,                0.57345,                 1.2476,              0.0014456,              0.0014456,              0.0014456
                     10,                  1.161,                0.58177,                  1.173,                 0.9433,                 0.8923,                0.95127,                0.65201,                 1.2182,                0.56902,                 1.2359,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.1526,                0.57325,                 1.1691,                0.93465,                0.89765,                0.95062,                0.64708,                 1.2283,                0.56783,                 1.2447,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1338,                0.56549,                 1.1602,                 0.9345,                0.90112,                0.94934,                0.65518,                 1.2113,                 0.5628,                 1.2359,               0.001208,               0.001208,               0.001208
                     13,                 1.1337,                0.55858,                 1.1597,                0.94521,                 0.8998,                0.95289,                0.66004,                 1.2078,                0.55596,                 1.2353,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.1232,                0.55143,                 1.1562,                0.94052,                0.90134,                0.95555,                0.66389,                 1.2026,                0.54756,                  1.229,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.1157,                0.54505,                 1.1489,                0.93707,                 0.9038,                0.95555,                0.66407,                 1.1985,                 0.5415,                   1.23,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.0853,                0.48669,                 1.1608,                0.94356,                0.89796,                0.95443,                0.66662,                 1.1999,                0.54964,                 1.2261,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.0701,                0.47658,                  1.154,                0.93754,                0.90203,                0.95311,                0.67067,                 1.1913,                0.54403,                 1.2261,               0.000812,               0.000812,               0.000812
                     18,                 1.0571,                0.47017,                 1.1496,                0.93208,                0.90891,                0.95438,                0.67335,                 1.1919,                0.54097,                 1.2265,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.0453,                0.46325,                 1.1425,                0.93288,                0.91209,                0.95499,                0.67109,                 1.1906,                 0.5362,                 1.2293,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.0348,                0.45836,                 1.1356,                0.93661,                0.91071,                0.95495,                0.67123,                   1.19,                 0.5384,                 1.2261,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0225,                0.44951,                 1.1264,                0.93794,                0.91209,                 0.9575,                0.67717,                 1.1876,                0.53087,                 1.2268,              0.0004952,              0.0004952,              0.0004952
                     22,                  1.013,                0.44181,                 1.1209,                0.93353,                0.91518,                0.95756,                0.67603,                 1.1855,                0.53513,                 1.2279,               0.000416,               0.000416,               0.000416
                     23,                  1.001,                  0.436,                 1.1152,                0.93951,                0.90718,                0.95599,                0.67673,                 1.1855,                 0.5294,                 1.2304,              0.0003368,              0.0003368,              0.0003368
                     24,                0.99345,                0.43261,                 1.1121,                0.93869,                0.90902,                0.95536,                0.67645,                 1.1836,                0.53136,                 1.2296,              0.0002576,              0.0002576,              0.0002576
                     25,                0.98339,                0.42953,                 1.1045,                0.93825,                0.91071,                0.95538,                0.67716,                 1.1863,                0.53353,                  1.232,              0.0001784,              0.0001784,              0.0001784
