                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2912,                0.68522,                 1.2564,                0.93071,                0.87521,                0.93676,                0.61343,                 1.3035,                0.67916,                 1.3214,             0.00066621,             0.00066621,             0.00066621
                      2,                 1.3148,                0.71899,                 1.2693,                0.93167,                0.86088,                0.93401,                0.60359,                  1.341,                0.68748,                 1.3359,              0.0012801,              0.0012801,              0.0012801
                      3,                 1.3359,                0.74085,                 1.2783,                0.91811,                0.86273,                0.93171,                0.60213,                 1.3168,                0.68031,                 1.3151,              0.0018412,              0.0018412,              0.0018412
                      4,                 1.3274,                0.73667,                 1.2731,                0.94044,                0.85937,                0.93608,                0.60815,                 1.3279,                0.68379,                 1.3176,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.3208,                  0.726,                 1.2683,                0.93765,                0.86301,                0.93599,                0.61308,                 1.2866,                0.65013,                 1.2946,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.3056,                0.71619,                 1.2595,                0.93355,                0.86165,                0.93752,                  0.617,                 1.2913,                0.65154,                 1.2904,              0.0016832,              0.0016832,              0.0016832
                      7,                  1.292,                0.70054,                 1.2541,                0.92736,                0.86691,                0.93427,                0.60705,                 1.2965,                0.66135,                  1.302,               0.001604,               0.001604,               0.001604
                      8,                 1.2756,                0.68466,                 1.2413,                0.92589,                0.87297,                0.94036,                0.62266,                 1.2753,                0.63816,                 1.2943,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.2587,                0.67373,                 1.2352,                0.93882,                0.87043,                0.94129,                 0.6316,                 1.2607,                0.61838,                 1.2775,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.2491,                0.65477,                 1.2277,                 0.9326,                0.89175,                0.94729,                0.63653,                 1.2558,                0.60191,                 1.2661,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.2364,                 0.6447,                 1.2187,                0.93193,                0.89296,                0.94757,                0.63983,                  1.251,                0.59551,                 1.2644,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.2229,                0.63244,                  1.211,                0.92219,                0.88458,                0.94668,                0.64151,                 1.2551,                0.59727,                 1.2725,               0.001208,               0.001208,               0.001208
                     13,                 1.2175,                0.62381,                  1.207,                 0.9322,                0.88441,                0.94807,                 0.6438,                 1.2462,                 0.5852,                 1.2599,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.2035,                0.61093,                  1.195,                0.93246,                0.89559,                0.94852,                0.64679,                 1.2349,                0.58544,                 1.2576,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.1889,                0.60297,                 1.1897,                0.93097,                0.89576,                0.94863,                0.64856,                 1.2344,                0.57236,                 1.2554,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.1655,                0.54319,                  1.212,                  0.931,                0.89674,                0.94952,                0.65178,                 1.2253,                0.56761,                 1.2515,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.1427,                0.52939,                 1.2024,                 0.9409,                0.89269,                0.95066,                0.65365,                 1.2217,                0.56746,                 1.2477,               0.000812,               0.000812,               0.000812
                     18,                 1.1335,                0.51863,                  1.198,                0.93157,                0.89609,                0.94969,                0.65674,                 1.2214,                0.57245,                 1.2512,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.1159,                0.50858,                 1.1851,                0.94008,                0.89642,                0.95203,                0.65793,                 1.2212,                0.56132,                 1.2455,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.1051,                0.50024,                 1.1782,                0.93774,                0.89899,                0.95253,                0.66295,                 1.2164,                0.56004,                 1.2493,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0912,                0.49052,                 1.1706,                0.93788,                0.89855,                0.95196,                0.66227,                 1.2209,                 0.5626,                 1.2531,              0.0004952,              0.0004952,              0.0004952
                     22,                  1.079,                0.48109,                 1.1659,                0.94602,                 0.8951,                0.95355,                0.66196,                 1.2185,                0.55835,                 1.2504,               0.000416,               0.000416,               0.000416
                     23,                 1.0674,                0.47745,                 1.1558,                0.93717,                0.89855,                0.95347,                0.66294,                 1.2184,                0.55351,                 1.2524,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.0556,                0.46783,                 1.1499,                0.93798,                0.90017,                0.95356,                0.66507,                 1.2123,                0.55478,                 1.2501,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.0486,                0.46422,                 1.1477,                0.94207,                0.89625,                0.95402,                0.66659,                 1.2112,                0.55946,                 1.2504,              0.0001784,              0.0001784,              0.0001784
