                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5166,                 2.4216,                 2.2335,                  0.791,                0.59853,                0.68098,                 0.3246,                 1.8767,                 1.3332,                 1.5676,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.7982,                 1.3833,                 1.5227,                0.87115,                0.73298,                0.82131,                0.43304,                 1.6672,                 1.1153,                 1.4279,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.6918,                 1.2055,                 1.4389,                0.89275,                0.75839,                0.85171,                0.47461,                 1.5032,                 1.0069,                 1.3547,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.6073,                 1.1001,                 1.3958,                0.90994,                0.81023,                0.88956,                0.53058,                 1.4504,                0.86443,                 1.3281,               0.001703,               0.001703,               0.001703
                      5,                 1.5458,                 1.0091,                 1.3575,                0.89483,                0.81075,                0.89427,                0.54326,                 1.4519,                0.82522,                 1.3248,               0.001703,               0.001703,               0.001703
                      6,                 1.5056,                0.95346,                 1.3357,                0.91306,                0.83043,                 0.9065,                0.56306,                 1.3692,                0.79275,                 1.2988,               0.001604,               0.001604,               0.001604
                      7,                 1.4747,                0.90918,                 1.3215,                0.91018,                0.84765,                0.91807,                0.57564,                 1.3849,                 0.7626,                 1.3016,               0.001505,               0.001505,               0.001505
                      8,                 1.4394,                 0.8689,                 1.3016,                0.92897,                0.84565,                0.92063,                0.58111,                 1.3521,                 0.7304,                 1.2794,               0.001406,               0.001406,               0.001406
                      9,                 1.4066,                0.83173,                 1.2842,                0.91889,                0.85206,                0.92385,                0.59159,                 1.3418,                0.70807,                 1.2771,               0.001307,               0.001307,               0.001307
                     10,                 1.3829,                0.79694,                  1.268,                0.92366,                0.86321,                0.92986,                0.59468,                 1.3404,                0.68806,                 1.2782,               0.001208,               0.001208,               0.001208
                     11,                 1.3373,                0.73399,                 1.3019,                0.92536,                0.86839,                0.93073,                0.60618,                 1.3146,                0.67536,                 1.2602,               0.001109,               0.001109,               0.001109
                     12,                 1.3125,                0.69911,                 1.2907,                0.92719,                0.86681,                0.93274,                0.60625,                 1.3242,                0.66777,                 1.2695,                0.00101,                0.00101,                0.00101
                     13,                 1.2947,                0.67919,                 1.2801,                0.92379,                0.87117,                0.93291,                   0.61,                 1.3106,                0.65359,                 1.2662,               0.000911,               0.000911,               0.000911
                     14,                 1.2717,                0.65381,                 1.2672,                0.93006,                0.87397,                0.93642,                0.61992,                 1.2903,                0.63645,                  1.252,               0.000812,               0.000812,               0.000812
                     15,                 1.2534,                0.63117,                 1.2554,                0.92645,                 0.8777,                0.94101,                0.62372,                 1.2878,                0.62952,                 1.2522,               0.000713,               0.000713,               0.000713
                     16,                 1.2327,                0.61206,                 1.2398,                0.93397,                0.87991,                 0.9428,                0.62761,                  1.284,                0.62472,                  1.251,               0.000614,               0.000614,               0.000614
                     17,                  1.217,                  0.595,                 1.2361,                0.92954,                0.87155,                0.94024,                0.62909,                 1.2745,                0.61683,                  1.249,               0.000515,               0.000515,               0.000515
                     18,                 1.1998,                0.57987,                  1.225,                0.93356,                0.87649,                0.94324,                0.63314,                 1.2737,                 0.6113,                 1.2527,               0.000416,               0.000416,               0.000416
                     19,                 1.1829,                0.56196,                 1.2174,                0.92487,                0.88684,                0.94388,                0.63426,                 1.2732,                0.60452,                 1.2492,               0.000317,               0.000317,               0.000317
                     20,                  1.168,                 0.5484,                 1.2128,                0.93207,                0.87995,                0.94459,                0.63695,                 1.2732,                0.59995,                 1.2517,               0.000218,               0.000218,               0.000218
